Tanggal,Variant_Suspect,Day,ID_CUM_POSITIVE,ID_CUM_HOSPITALIZED,ID_CUM_CURED,ID_CUM_DEATH,JKT_CUM_POSITIVE,JKT_CUM_HOSPITALIZED,JKT_CUM_CURED,JKT_CUM_DEATH,JKT_CUM_SELFISOLATION,JKT_CUM_ACTIVEPOSITIVE,ID_DAILY_POSITIVE,ID_DAILY_HOSPITALIZED,ID_DAILY_CURED,ID_DAILY_DEATH,JKT_DAILY_DEATH,JKT_DAILY_CURED,JKT_DAILY_ISOLATION,JKT_DAILY_HOSPITALIZED,JKT_DAILY_POSITIVE,JKT_DAILY_ACTIVEPOSITIVE,JKT_DAILY_BURIAL,JKT_CUM_BURIAL,JKT_DAILY_TESTSPECIMENT,JKT_DAILY_POSTEST,PoF_Positive,JKT_DAILY_NEGTEST,JKT_DAILY_POSTRATE,PoF_PostRate,JKT_CONS_VALUE,CoF_HSE
06/03/2021,Alpha-Beta-Gamma,371,1373836,147172,1189510,37154,348591,2998,335617,5748,4228,7226,5743,-1208,6823,128,46,1517,202,-149,1616,53,152,59102,11041,1783,,9258,0.161488996,2,1456,2
07/03/2021,Alpha-Beta-Gamma,372,1379662,147740,1194656,37266,350425,3015,337426,5790,4194,7209,5826,568,5146,112,42,1809,-34,17,1834,-17,125,59227,12172,867,,11305,0.07122905,1,1994,3
08/03/2021,Alpha-Beta-Gamma,373,1386556,145628,1203381,37547,352208,2945,338931,5838,4494,7439,6894,-2112,8725,281,48,1505,300,-70,1783,230,163,59390,13813,1040,,12773,0.075291392,1,1787,3
09/03/2021,Alpha-Beta-Gamma,374,1392945,144311,1210877,37757,353075,2749,340587,5883,3856,6605,6389,-1317,7496,210,45,1656,-638,-196,867,-834,146,59536,14611,1754,,12857,0.12004654,2,610,2
10/03/2021,Alpha-Beta-Gamma,375,1398578,144213,1216433,37932,354115,3103,341398,5923,3691,6794,5633,-98,5556,175,40,811,-165,354,1040,189,149,59685,12062,1873,,10189,0.155281048,2,1868,3
11/03/2021,Alpha-Beta-Gamma,376,1403722,141070,1224603,38049,355869,3367,342306,5943,4253,7620,5144,-3143,8170,117,20,908,562,264,1754,826,133,59818,11376,1034,,10342,0.090893108,2,2342,3
12/03/2021,Alpha-Beta-Gamma,377,1410134,140451,1231454,38229,357742,3752,343351,5969,4670,8422,6412,-619,6851,180,26,1045,417,385,1873,802,173,59991,11932,1204,,10728,0.100905129,2,2721,3
13/03/2021,Alpha-Beta-Gamma,378,1414741,138942,1237470,38329,358776,3357,345202,5991,4226,7583,4607,-1509,6016,100,22,1851,-444,-395,1034,-839,156,60147,9342,1555,,7787,0.16645258,2,310,2
14/03/2021,Alpha-Beta-Gamma,379,1419455,137912,1243117,38426,359980,3301,347210,6026,3443,6744,4714,-1030,5647,97,35,2008,-783,-56,1204,-839,123,60270,15239,835,,14404,0.054793622,1,1197,2
15/03/2021,Alpha-Beta-Gamma,380,1425044,136524,1249947,38573,361535,3010,349002,6038,3485,6495,5589,-1388,6830,147,12,1792,42,-291,1555,-249,153,60423,13736,1330,,12406,0.096825859,2,1009,2
16/03/2021,Alpha-Beta-Gamma,381,1430458,134042,1257663,38753,362370,2751,350561,6062,2996,5747,5414,-2482,7716,180,24,1559,-489,-259,835,-748,152,60575,15107,1719,,13388,0.11378831,2,389,2
17/03/2021,Alpha-Beta-Gamma,382,1437283,131695,1266673,38915,363700,3036,351680,6077,2907,5943,6825,-2347,9010,162,15,1119,-89,285,1330,196,177,60752,11497,1588,,9909,0.138122989,2,1945,3
18/03/2021,Alpha-Beta-Gamma,383,1443853,131753,1272958,39142,365419,3219,352827,6100,3273,6492,6570,58,6285,227,23,1147,366,183,1719,549,172,60924,13204,1937,,11267,0.14669797,2,2154,3
19/03/2021,Alpha-Beta-Gamma,384,1450132,131828,1278965,39339,367007,3368,354036,6120,3483,6851,6279,75,6007,197,20,1209,210,149,1588,359,173,61097,10562,1638,,8924,0.155084264,2,1946,3
20/03/2021,Alpha-Beta-Gamma,385,1455788,131616,1284725,39447,368944,3686,355221,6143,3894,7580,5656,-212,5760,108,23,1185,411,318,1937,729,137,61234,8728,1474,,7254,0.16888176,2,2642,3
21/03/2021,Alpha-Beta-Gamma,386,1460184,129844,1290790,39550,370582,3463,357100,6160,3859,7322,4396,-1772,6065,103,17,1879,-35,-223,1638,-258,166,61400,10242,815,,9427,0.079574302,1,1243,2
22/03/2021,Alpha-Beta-Gamma,387,1465928,128250,1297967,39711,372056,3276,358826,6179,3775,7051,5744,-1594,7177,161,19,1726,-84,-187,1474,-271,154,61554,16096,890,,15206,0.055293241,1,1157,2
23/03/2021,Alpha-Beta-Gamma,388,1471225,126439,1304921,39865,372871,3079,360479,6206,3107,6186,5297,-1811,6954,154,27,1653,-668,-197,815,-865,161,61715,12742,1726,,11016,0.135457542,2,502,2
24/03/2021,Alpha-Beta-Gamma,389,1476452,123926,1312543,39983,373761,2639,362248,6224,2650,5289,5227,-2513,7622,118,18,1769,-457,-440,890,-897,156,61871,13080,1381,,11699,0.10558104,2,64,1
25/03/2021,Alpha-Beta-Gamma,390,1482559,125279,1317199,40081,375487,3049,362975,6241,3222,6271,6107,1353,4656,98,17,727,572,410,1726,982,164,62035,13086,1354,,11732,0.103469357,2,2597,3
26/03/2021,Alpha-Beta-Gamma,391,1487541,124497,1322878,40166,376868,3380,363599,6260,3629,7009,4982,-782,5679,85,19,624,407,331,1381,738,131,62166,12292,1470,,10822,0.119589977,2,2100,3
27/03/2021,Alpha-Beta-Gamma,392,1492002,124517,1327121,40364,378222,3758,364251,6281,3932,7690,4461,20,4243,198,21,652,303,378,1354,681,146,62312,7497,1014,,6483,0.135254102,2,2173,3
28/03/2021,Alpha-Beta-Gamma,393,1496085,124236,1331400,40449,379692,3830,365592,6304,3966,7796,4083,-281,4279,85,23,1341,34,72,1470,106,158,62470,11412,384,,11028,0.033648791,1,1683,3
29/03/2021,Alpha-Beta-Gamma,394,1501093,123694,1336818,40581,380706,3733,366615,6324,4034,7767,5008,-542,5418,132,20,1023,68,-97,1014,-29,151,62621,13420,965,,12455,0.071907601,1,880,2
30/03/2021,Alpha-Beta-Gamma,395,1505775,122326,1342695,40754,381090,3525,367819,6327,3419,6944,4682,-1368,5877,173,3,1204,-615,-208,384,-823,130,62751,12124,1337,,10787,0.110277136,2,-23,1
31/03/2021,Alpha-Beta-Gamma,396,1511712,122524,1348330,40858,382055,3679,369007,6341,3028,6707,5937,198,5635,104,14,1188,-391,154,965,-237,151,62902,11141,1240,,9901,0.111300601,2,1315,2
01/04/2021,Alpha-Beta-Gamma,397,1517854,121222,1355578,41054,383392,3672,369929,6344,3447,7119,6142,-1302,7248,196,3,922,419,-7,1337,412,135,63037,7516,1098,,6418,0.146088345,2,1332,2
02/04/2021,Alpha-Beta-Gamma,398,1523179,121011,1361017,41151,384632,3594,371254,6351,3433,7027,5325,-211,5439,97,7,1325,-14,-78,1240,-92,152,63189,7694,736,,6958,0.095658955,2,1105,2
03/04/2021,Alpha-Beta-Gamma,399,1527524,120068,1366214,41242,385730,3563,372494,6356,3317,6880,4345,-943,5197,91,5,1240,-116,-31,1098,-147,151,63340,7333,523,,6810,0.071321424,1,1051,2
04/04/2021,Alpha-Beta-Gamma,400,1534255,116709,1375877,41669,386466,3392,373565,6360,3149,6541,6731,-3359,9663,427,4,1071,-168,-171,736,-339,137,63477,12620,487,,12133,0.03858954,1,406,2
05/04/2021,Alpha-Beta-Gamma,401,1537967,114475,1381677,41815,386989,3304,374542,6372,2771,6075,3712,-2234,5800,146,12,977,-378,-88,523,-466,140,63617,12096,862,,11234,0.071263228,1,383,2
06/04/2021,Alpha-Beta-Gamma,402,1542516,114566,1385973,41977,387476,3312,375080,6379,2705,6017,4549,91,4296,162,7,538,-66,8,487,-58,130,63747,9603,1239,,8364,0.129022181,2,524,2
07/04/2021,Alpha-Beta-Gamma,403,1547376,113570,1391742,42064,388338,3482,375651,6391,2814,6296,4860,-996,5769,87,12,571,109,170,862,279,147,63894,10548,1013,,9535,0.096037163,2,1238,2
08/04/2021,Alpha-Beta-Gamma,404,1552880,111271,1399382,42227,389577,3653,376270,6410,3244,6897,5504,-2299,7640,163,19,619,430,171,1239,601,139,64033,10442,977,,9465,0.093564451,2,1638,3
09/04/2021,Alpha-Beta-Gamma,405,1558145,110118,1405679,42348,390590,3701,376959,6424,3506,7207,5265,-1153,6297,121,14,689,262,48,1013,310,141,64174,8868,1031,,7837,0.116260713,2,1151,2
10/04/2021,Alpha-Beta-Gamma,406,1562868,111137,1409288,42443,391567,3619,377797,6435,3716,7335,4723,1019,3609,95,11,838,210,-82,977,128,155,64329,7265,692,,6573,0.095251204,2,846,2
11/04/2021,Alpha-Beta-Gamma,407,1566995,109958,1414507,42530,392598,3321,379210,6450,3617,6938,4127,-1179,5219,87,15,1413,-99,-298,1031,-397,148,64477,7576,828,,6748,0.109292503,2,480,2
12/04/2021,Alpha-Beta-Gamma,408,1571824,109372,1419796,42656,393290,2947,380560,6459,3324,6271,4829,-586,5289,126,9,1350,-293,-374,692,-667,151,64628,12934,661,,12273,0.051105613,1,-29,1
13/04/2021,Alpha-Beta-Gamma,409,1577526,108599,1426145,42782,394118,2861,381449,6482,3326,6187,5702,-773,6349,126,23,889,2,-86,828,-84,127,64755,10673,1330,,9343,0.124613511,2,725,2
14/04/2021,Alpha-Beta-Gamma,410,1583182,108384,1431892,42906,394779,2861,382091,6489,3338,6199,5656,-215,5747,124,7,642,12,0,661,12,152,64907,11191,979,,10212,0.087481012,1,682,2
15/04/2021,Alpha-Beta-Gamma,411,1589359,108032,1438254,43073,396109,3067,382617,6504,3921,6988,6177,-352,6362,167,15,526,583,206,1330,789,142,65049,10823,1037,,9786,0.095814469,2,1787,3
16/04/2021,Alpha-Beta-Gamma,412,1594722,107297,1444229,43196,397088,3313,383655,6513,3607,6920,5363,-735,5975,123,9,1038,-314,246,979,-68,131,65180,6749,950,,5799,0.140761594,2,1498,2
17/04/2021,Alpha-Beta-Gamma,413,1599763,106243,1450192,43328,398125,3441,384652,6520,3512,6953,5041,-1054,5963,132,7,997,-95,128,1037,33,156,65336,8565,973,,7592,0.113601868,2,1314,2
18/04/2021,Alpha-Beta-Gamma,414,1604348,105859,1455065,43424,399075,3611,385615,6536,3313,6924,4585,-384,4873,96,16,963,-199,170,950,-29,108,65444,8601,460,,8141,0.053482153,1,1338,2
19/04/2021,Alpha-Beta-Gamma,415,1609300,104319,1461414,43567,400048,3666,386606,6558,3218,6884,4952,-1540,6349,143,22,991,-95,55,973,-40,153,65597,11434,602,,10832,0.052649991,1,1149,2
20/04/2021,Alpha-Beta-Gamma,416,1614849,102930,1468142,43777,400508,3487,387507,6569,2945,6432,5549,-1389,6728,210,11,901,-273,-179,460,-452,142,65739,10519,1266,,9253,0.120353646,2,135,2
21/04/2021,Alpha-Beta-Gamma,417,1620569,101106,1475456,44007,401110,3486,388083,6587,2954,6440,5720,-1824,7314,230,18,576,9,-1,602,8,134,65873,8671,884,,7787,0.101949025,2,654,2
22/04/2021,Alpha-Beta-Gamma,418,1626812,101191,1481449,44172,402376,3548,388735,6596,3497,7045,6243,85,5993,165,9,652,543,62,1266,605,130,66003,9747,907,,8840,0.093054273,2,1417,2
23/04/2021,Alpha-Beta-Gamma,419,1632248,100533,1487369,44346,403260,3619,389445,6612,3584,7203,5436,-658,5920,174,16,710,87,71,884,158,111,66114,7851,896,,6955,0.114125589,2,1074,2
24/04/2021,Alpha-Beta-Gamma,420,1636792,99970,1492322,44500,404167,3647,390334,6623,3563,7210,4544,-563,4953,154,11,889,-21,28,907,7,135,66249,6846,749,,6097,0.109406953,2,996,2
25/04/2021,Alpha-Beta-Gamma,421,1641194,100474,1496126,44594,405063,3718,391301,6645,3399,7117,4402,504,3804,94,22,967,-164,71,896,-93,123,66372,7856,393,,7463,0.050025458,1,1104,2
26/04/2021,Alpha-Beta-Gamma,422,1647138,100652,1501715,44770,405812,3405,392595,6660,3152,6557,5944,178,5589,176,15,1294,-247,-313,749,-560,142,66514,10830,639,,10191,0.05900277,1,168,2
27/04/2021,Alpha-Beta-Gamma,423,1651794,100256,1506599,44939,406205,3322,393205,6679,2999,6321,4656,-396,4884,169,19,610,-153,-83,393,-236,148,66662,9559,987,,8572,0.103253478,2,284,2
28/04/2021,Alpha-Beta-Gamma,424,1657035,100502,1511417,45116,406844,3390,393814,6690,2950,6340,5241,246,4818,177,11,609,-49,68,639,19,147,66809,9712,789,,8923,0.081239703,1,808,2
29/04/2021,Alpha-Beta-Gamma,425,1662868,100102,1517432,45334,407831,3410,394403,6710,3308,6718,5833,-400,6015,218,20,589,358,20,987,378,131,66940,9962,926,,9036,0.092953222,2,1087,2
30/04/2021,Alpha-Beta-Gamma,426,1668368,100213,1522634,45521,408620,3527,394939,6733,3421,6948,5500,111,5202,187,23,536,113,117,789,230,117,67057,6957,854,,6103,0.122754061,2,1092,2
01/05/2021,Alpha-Beta-Gamma,427,1672880,100250,1526978,45652,409546,3622,395644,6747,3533,7155,4512,37,4344,131,14,705,112,95,926,207,123,67180,6765,757,,6008,0.111899483,2,1158,2
02/05/2021,Alpha-Beta-Gamma,428,1677274,100760,1530718,45796,410400,3589,396594,6767,3450,7039,4394,510,3740,144,20,950,-83,-33,854,-116,165,67345,8154,416,,7738,0.051017905,1,848,2
03/05/2021,Delta,1,1682004,100564,1535491,45949,411157,3537,397349,6788,3483,7020,4730,-196,4773,153,21,755,33,-52,757,-19,129,67474,10686,845,,9841,0.079075426,1,716,2
04/05/2021,Delta,2,1686373,99087,1541149,46137,411573,3564,397955,6807,3247,6811,4369,-1477,5658,188,19,606,-236,27,416,-209,150,67624,11480,905,,10575,0.078832753,1,527,2
05/05/2021,Delta,3,1691658,98217,1547092,46349,412418,3738,398610,6830,3240,6978,5285,-870,5943,212,23,655,-7,174,845,167,134,67758,10752,783,,9969,0.072823661,1,1262,2
06/05/2021,Delta,4,1697305,98277,1552532,46496,413323,3843,399224,6850,3406,7249,5647,60,5440,147,20,614,166,105,905,271,123,67881,9612,732,,8880,0.076154806,1,1175,2
07/05/2021,Delta,5,1703632,98546,1558423,46663,414106,3928,399821,6872,3485,7413,6327,269,5891,167,22,597,79,85,783,164,123,68004,8206,809,,7397,0.0985864,2,1019,2
08/05/2021,Delta,6,1709762,99003,1563917,46842,414838,3970,400403,6896,3569,7539,6130,457,5494,179,24,582,84,42,732,126,128,68132,6910,694,,6216,0.100434153,2,888,2
09/05/2021,Delta,7,1713684,98395,1568277,47012,415647,3974,401114,6911,3648,7622,3922,-608,4360,170,15,711,79,4,809,83,116,68248,6139,406,,5733,0.06613455,1,862,2
10/05/2021,Delta,8,1718575,96742,1574615,47218,416341,3941,401744,6933,3723,7664,4891,-1653,6338,206,22,630,75,-33,694,42,127,68375,8182,656,,7526,0.080175996,1,694,2
11/05/2021,Delta,9,1723596,95924,1580207,47465,416747,3931,402374,6952,3490,7421,5021,-818,5592,247,19,630,-233,-10,406,-243,154,68529,8229,785,,7444,0.095394337,2,443,2
12/05/2021,Delta,10,1728204,95709,1584878,47617,417403,3989,403039,6973,3402,7391,4608,-215,4671,152,21,665,-88,58,656,-30,150,68679,4590,632,,3958,0.137690632,2,835,2
13/05/2021,Delta,11,1731652,94857,1589079,47716,418188,3955,403630,6973,3630,7585,3448,-852,4201,99,0,591,228,-34,785,194,132,68811,4032,227,,3805,0.056299603,1,717,2
14/05/2021,Delta,12,1734285,93576,1592886,47823,418820,4128,404187,7003,3502,7630,2633,-1281,3807,107,30,557,-128,173,632,45,150,68961,3580,161,,3419,0.044972067,1,1068,2
15/05/2021,Delta,13,1736670,91636,1597067,47967,419047,3978,404715,7066,3288,7266,2385,-1940,4181,144,63,528,-214,-150,227,-364,143,69104,4361,421,,3940,0.096537491,2,116,1
16/05/2021,Delta,14,1739750,90800,1600857,48093,419208,3957,404980,7082,3189,7146,3080,-836,3790,126,16,265,-99,-21,161,-120,124,69228,4131,291,,3840,0.070442992,1,167,2
17/05/2021,Delta,15,1744045,89129,1606611,48305,419629,4135,405229,7107,3158,7293,4295,-1671,5754,212,25,249,-31,178,421,147,116,69344,4494,539,,3955,0.119937695,2,852,2
18/05/2021,Delta,16,1748230,87514,1612239,48477,419920,4185,405357,7130,3248,7433,4185,-1615,5628,172,23,128,90,50,291,140,112,69456,8307,895,,7412,0.10774046,2,460,2
19/05/2021,Delta,17,1753101,87829,1616603,48669,420459,4409,405535,7149,3366,7775,4871,315,4364,192,19,178,118,224,539,342,94,69550,8168,856,,7312,0.104799216,2,1044,2
20/05/2021,Delta,18,1758898,88439,1621572,48887,421354,4674,405714,7169,3797,8471,5797,610,4969,218,20,179,431,265,895,696,151,69701,14265,932,,13333,0.065334735,1,1485,2
21/05/2021,Delta,19,1764644,89429,1626142,49073,422210,4966,405918,7184,4142,9108,5746,990,4570,186,15,204,345,292,856,637,138,69839,8669,867,,7802,0.100011535,2,1485,2
22/05/2021,Delta,20,1769940,91240,1629495,49205,423142,5260,406300,7196,4386,9646,5296,1811,3353,132,12,382,244,294,932,538,117,69956,8361,819,,7542,0.09795479,2,1556,2
23/05/2021,Delta,21,1775220,92847,1633045,49328,424009,5389,406669,7207,4744,10133,5280,1607,3550,123,11,369,358,129,867,487,113,70069,9341,384,,8957,0.041109089,1,1158,2
24/05/2021,Delta,22,1781127,93393,1638279,49455,424828,5537,406987,7225,5079,10616,5907,546,5234,127,18,318,335,148,819,483,133,70202,13768,617,,13151,0.044814062,1,1169,2
25/05/2021,Delta,23,1786187,94486,1642074,49627,425212,5463,407493,7239,5017,10480,5060,1093,3795,172,14,506,-62,-74,384,-136,153,70355,8524,940,,7584,0.110276865,2,278,2
26/05/2021,Delta,24,1791221,96187,1645263,49771,425829,5567,408019,7250,4993,10560,5034,1701,3189,144,11,526,-24,104,617,80,117,70472,9599,693,,8906,0.07219502,1,858,2
27/05/2021,Delta,25,1797499,98405,1649187,49907,426769,5633,408585,7271,5280,10913,6278,2218,3924,136,21,566,287,66,940,353,117,70589,13247,807,,12440,0.060919453,1,1135,2
28/05/2021,Delta,26,1803361,98704,1654557,50100,427462,5516,409497,7288,5161,10677,5862,299,5370,193,17,912,-119,-117,693,-236,136,70725,10573,1064,,9509,0.10063369,2,510,2
29/05/2021,Delta,27,1809926,99690,1659974,50262,428269,5461,410508,7296,5004,10465,6565,986,5417,162,8,1011,-157,-55,807,-212,131,70856,7322,726,,6596,0.099153237,2,721,2
30/05/2021,Delta,28,1816041,101639,1663998,50404,429333,5429,411495,7309,5100,10529,6115,1949,4024,142,13,987,96,-32,1064,64,131,70987,6847,519,,6328,0.07579962,1,1039,2
31/05/2021,Delta,29,1821703,102006,1669119,50578,430059,5417,412074,7327,5241,10658,5662,367,5121,174,18,579,141,-12,726,129,131,71118,6917,601,,6316,0.086887379,1,756,2
01/06/2021,Delta,30,1826527,101325,1674479,50723,430578,5422,412593,7349,5214,10636,4824,-681,5360,145,22,519,-27,5,519,-22,121,71239,9849,714,,9135,0.07249467,1,595,2
02/06/2021,Delta,31,1831773,100364,1680501,50908,431179,5461,413179,7361,5178,10639,5246,-961,6022,185,12,586,-36,39,601,3,142,71381,14450,906,,13544,0.062698962,1,715,2
03/06/2021,Delta,32,1837126,94438,1691593,51095,431893,5430,413680,7381,5402,10832,5353,-5926,11092,187,20,501,224,-31,714,193,139,71520,10605,1317,,9288,0.124186704,2,712,2
04/06/2021,Delta,33,1843612,94773,1697543,51296,432799,5487,414496,7402,5414,10901,6486,335,5950,201,21,816,12,57,906,69,134,71654,7625,1019,,6606,0.133639344,2,1083,2
05/06/2021,Delta,34,1850206,96973,1701784,51449,434116,5620,415317,7423,5756,11376,6594,2200,4241,153,21,821,342,133,1317,475,151,71805,6698,1197,,5501,0.178710063,2,1646,3
06/06/2021,Delta,35,1856038,98455,1705971,51612,435135,5550,416181,7438,5966,11516,5832,1482,4187,163,15,864,210,-70,1019,140,154,71959,7237,755,,6482,0.104324997,2,924,2
07/06/2021,Delta,36,1863031,99663,1711565,51803,436332,5620,416994,7457,6261,11881,6993,1208,5594,191,19,813,295,70,1197,365,150,72109,11167,1376,,9791,0.123220202,2,1394,2
08/06/2021,Delta,37,1869325,99963,1717370,51992,437087,5555,417997,7478,6057,11612,6294,300,5805,189,21,1003,-204,-65,755,-269,159,72268,12304,2096,,10208,0.170351105,2,688,2
09/06/2021,Delta,38,1877050,101635,1723253,52162,438458,5730,419109,7499,6120,11850,7725,1672,5883,170,21,1112,63,175,1371,238,158,72426,13142,2293,,10849,0.17447877,2,1784,3
10/06/2021,Delta,39,1885901,104614,1728914,52373,440554,5829,420211,7523,6991,12820,8851,2979,5661,211,24,1102,871,99,2096,970,145,72571,13443,2455,,10988,0.182622926,2,2366,3
11/06/2021,Delta,40,1894025,106315,1735144,52566,442847,6158,421396,7543,7750,13908,8124,1701,6230,193,20,1185,759,329,2293,1088,166,72737,11800,2769,,9031,0.234661017,2,3011,3
12/06/2021,Delta,41,1901490,108324,1740436,52730,445302,6769,422121,7557,8855,15624,7465,2009,5292,164,14,725,1105,611,2455,1716,156,72893,11671,2722,,8949,0.233227658,2,3719,3
13/06/2021,Delta,42,1911358,113388,1745091,52879,448071,7410,423056,7571,10034,17444,9868,5064,4655,149,14,935,1179,641,2769,1820,149,73042,8970,1502,,7468,0.167447046,2,4093,3
14/06/2021,Delta,43,1919547,115197,1751234,53116,450793,7856,424088,7609,11240,19096,8189,1809,6143,237,38,1032,1206,446,2722,1652,192,73234,15269,2376,,12893,0.155609405,2,3728,3
15/06/2021,Delta,44,1927708,116787,1757641,53280,452295,8142,425417,7634,11102,19244,8161,1590,6407,164,25,1329,-138,286,1502,148,206,73440,16499,4144,,12355,0.251166737,3,2149,3
16/06/2021,Delta,45,1937652,120306,1763870,53476,454671,8756,426695,7665,11555,20311,9944,3519,6229,196,31,1278,453,614,2376,1067,228,73668,17368,4737,,12631,0.272742976,3,3697,3
17/06/2021,Delta,46,1950276,125303,1771220,53753,458815,9284,428764,7713,13054,22338,12624,4997,7350,277,48,2069,1499,528,4144,2027,221,73889,16797,4895,,11902,0.291421087,3,5344,3
18/06/2021,Delta,47,1963266,130096,1779127,54043,463552,9560,431264,7777,14951,24511,12990,4793,7907,290,64,2500,1897,276,4737,2173,236,74125,16636,5582,,11054,0.335537389,3,5481,3
19/06/2021,Delta,48,1976172,135738,1786143,54291,468447,10325,433499,7836,16787,27112,12906,5642,7016,248,59,2235,1836,765,4895,2601,220,74345,15424,5014,,10410,0.325077801,3,6602,3
20/06/2021,Delta,49,1989909,142719,1792528,54662,474029,11037,435982,7905,19105,30142,13737,6981,6385,371,69,2483,2318,712,5582,3030,253,74598,14462,3221,,11241,0.222721615,2,7213,3
21/06/2021,Delta,50,2004445,147728,1801761,54956,479043,11343,439007,7976,20717,32060,14536,5009,9233,294,71,3025,1612,306,5014,1918,245,74843,19485,4693,,14792,0.240851937,2,5839,3
22/06/2021,Delta,51,2018113,152686,1810136,55291,482264,11024,442059,8014,21167,32191,13668,4958,8375,335,38,3052,450,-319,3221,131,327,75170,20460,7505,,12955,0.366813294,3,2697,3
23/06/2021,Delta,52,2033421,160524,1817303,55594,486957,12837,443195,8057,22868,35705,15308,7838,7167,303,43,1136,1701,1813,4693,3514,306,75476,20155,6934,,13221,0.344033739,3,8448,3
24/06/2021,Delta,53,2053995,171542,1826504,55949,494462,14234,445718,8107,26403,40637,20574,11018,9201,355,50,2523,3535,1397,7505,4932,365,75841,22911,9271,,13640,0.404652787,3,10449,3
25/06/2021,Delta,54,2072867,181435,1835061,56371,501396,15606,448288,8177,29325,44931,18872,9893,8557,422,70,2570,2922,1372,6934,4294,417,76258,24704,9394,,15310,0.380262306,3,9888,3
26/06/2021,Delta,55,2093962,194776,1842457,56729,510667,17605,451013,8220,33829,51434,21095,13341,7396,358,43,2725,4504,1999,9271,6503,396,76654,24295,8348,,15947,0.343609796,3,13398,3
27/06/2021,Delta,56,2115304,207685,1850481,57138,520061,18831,454497,8269,38464,57295,21342,12909,8024,409,49,3484,4635,1226,9394,5861,500,77154,22046,7379,,14667,0.334709244,3,11993,3
28/06/2021,Delta,57,2135998,218476,1859961,57561,528409,19874,457935,8348,42252,62126,20694,10791,9480,423,79,3438,3788,1043,8348,4831,611,77765,22432,7680,,14752,0.342368046,3,10671,3
29/06/2021,Delta,58,2156465,228835,1869606,58024,535788,20419,461439,8426,45504,65923,20467,10359,9645,463,78,3504,3252,545,7379,3797,507,78272,21394,7541,,13853,0.352482004,3,8703,3
30/06/2021,Delta,59,2178272,239368,1880413,58491,543468,22210,464943,8486,47829,70039,21807,10533,10807,467,60,3504,2325,1791,7680,4116,627,78899,25285,9399,,15886,0.371722365,3,11442,3
01/07/2021,Delta,60,2203108,253826,1890287,58995,551009,24184,468461,8528,49836,74020,24836,14458,9874,504,42,3518,2007,1974,7541,3981,647,79546,24478,9702,,14776,0.396355911,3,11615,3
02/07/2021,Delta,61,2228938,267539,1901865,59534,560408,25380,473467,8547,53014,78394,25830,13713,11578,539,19,5006,3178,1196,9399,4374,762,80308,24616,10485,,14131,0.425942476,3,11848,3
03/07/2021,Delta,62,2256851,281677,1915147,60027,570110,27442,479150,8577,54941,82383,27913,14138,13282,493,30,5683,1927,2062,9702,3989,600,80908,27356,10903,,16453,0.398559731,3,13916,3
04/07/2021,Delta,63,2284084,295228,1928274,60582,580595,27687,484949,8652,59307,86994,27233,13551,13127,555,75,5799,4366,245,10485,4611,681,81589,25309,9439,,15870,0.372950334,3,11200,3
05/07/2021,Delta,64,2313829,309999,1942690,61140,591498,28290,491556,8779,62873,91163,29745,14771,14416,558,127,6607,3566,603,10903,4169,833,82422,25453,9366,,16087,0.367972341,3,12490,3
06/07/2021,Delta,65,2345018,324597,1958553,61868,600937,29136,497492,8861,65448,94584,31189,14598,15863,728,82,5936,2575,846,9439,3421,684,83106,28003,12974,,15029,0.463307503,3,11377,3
07/07/2021,Delta,66,2379397,343101,1973388,62908,610303,30418,501199,9042,69644,100062,34379,18504,14835,1040,181,3707,4196,1282,9366,5478,727,83833,31847,13112,,18735,0.411718529,3,12473,3
08/07/2021,Delta,67,2417788,359455,1994573,63760,623277,29721,512085,9110,72361,102082,38391,16354,21185,852,68,10886,2717,-697,12974,2020,710,84543,30950,12920,,18030,0.417447496,3,11784,3
09/07/2021,Delta,68,2455912,367733,2023548,64631,636389,26903,526941,9306,73239,100142,38124,8278,28975,871,196,14856,878,-2818,13112,-1940,742,85285,35642,13133,,22509,0.368469783,3,8064,3
10/07/2021,Delta,69,2491006,373440,2052109,65457,649309,24273,543867,9357,71812,96085,35094,5707,28561,826,51,16926,-1427,-2630,12920,-4057,823,86108,35376,14619,,20757,0.413246269,3,7813,3
11/07/2021,Delta,70,2527203,376015,2084724,66464,662442,20359,564437,9395,68251,88610,36197,2575,32615,1007,38,20570,-3561,-3914,13133,-7475,700,86808,31632,12182,,19450,0.385116338,3,5419,3
12/07/2021,Delta,71,2567630,380797,2119478,67355,677061,16106,584912,9462,66581,82687,40427,4782,34754,891,67,20475,-1670,-4253,14619,-5923,627,87435,43067,12667,,30400,0.294123111,3,6314,3
13/07/2021,Delta,72,2615529,407709,2139601,68219,689243,18368,589486,9541,71848,90216,47899,26912,20123,864,79,4574,5267,2262,12182,7529,547,87982,41734,12691,,29043,0.304092586,3,16943,3
14/07/2021,Delta,73,2670046,443473,2157363,69210,701910,21180,592556,9603,78571,99751,54517,35764,17762,991,62,3070,6723,2812,12667,9535,532,88514,41580,12415,,29165,0.298581049,3,18477,3
15/07/2021,Delta,74,2726803,480199,2176412,70192,714601,22978,595582,9743,86298,109276,56757,36726,19049,982,140,3026,7727,1798,12691,9525,573,89087,38512,10168,,28344,0.264021604,3,16707,3
